spider ant ophraella paria aphids hesperotettix other_grasshopper plant_hoppers micrutalis cryptolaemus ladybug_septempunctata ladybug_cycloneda ladybug_Naemia smallwhite_ladybug pupa larva
1.66666666666667 3.33333333333333 0 0 7.66666666666667 0.166666666666667 0.166666666666667 0.166666666666667 0.666666666666667 0 0 0.166666666666667 0 0 0 0
0.833333333333333 0 0 0 67.5 0 0 0 0 0 0 1.5 0 0 3 1.66666666666667
1.16666666666667 0.333333333333333 0 0 14 0 0.666666666666667 0 0 0 0 0 0 0 0 0
0.5 0.833333333333333 0 0 23.1666666666667 0.166666666666667 0 0 0 0 0.166666666666667 0 0 0.166666666666667 0 0
0 0 0 0 8.33333333333333 0.333333333333333 0 0 0 0 0 0 0 0 0 0
0.666666666666667 0 0 0 77.6666666666667 0.166666666666667 0.166666666666667 0 0 0.166666666666667 0 0.333333333333333 0 0 0 0
0.5 3.16666666666667 0 0 10.1666666666667 0 0.166666666666667 0.833333333333333 0 0 0 0 0 0 0 0
1.33333333333333 0 0 0 180.166666666667 0 0.333333333333333 0 0 0.333333333333333 0.333333333333333 0.833333333333333 0 0 0.333333333333333 1
0 1 0 0.166666666666667 6.83333333333333 0.666666666666667 0 1.16666666666667 0 0.166666666666667 0 0 0 0 0 0
0.5 0.166666666666667 0 9.66666666666667 0.833333333333333 0 0.166666666666667 1.83333333333333 0 0 0 0 0 0 0 0
2.5 2.16666666666667 0 0 26 2.66666666666667 0.333333333333333 1.16666666666667 0 0.166666666666667 0 0 0 0 0 0
1 0.166666666666667 0 0 17.1666666666667 1 0 0 0 0 0 0 0 0 0 0
0.833333333333333 0.333333333333333 0 0.166666666666667 67.8333333333333 0.5 0 0.5 0.166666666666667 0.166666666666667 0 0 0 0 0 0.166666666666667
0.666666666666667 0 0 0 68.5 0.166666666666667 0.166666666666667 0 0 0.333333333333333 0 0 0 0 0 1
0.166666666666667 0.833333333333333 0 0 23.5 0.166666666666667 0 0 1.33333333333333 0.333333333333333 0 0 0 0 0 0
0.666666666666667 0.333333333333333 0 0 69.8333333333333 0.166666666666667 0 0 0.666666666666667 0 0 0 0 0.166666666666667 0 1
0.5 0.5 0 0 25.8333333333333 1 0 0 0 0.5 0 0 0 0 0 0
0.166666666666667 0 0 0 7.16666666666667 0.166666666666667 0 0 0 0.5 0 0 0 0 0 0
0.5 0 0 0 22 0 0 0.333333333333333 0.333333333333333 0 0 0 0 0 0 0
0.833333333333333 0.166666666666667 0 0 14.8333333333333 0 0 0.166666666666667 0 0.166666666666667 0 0 0 0 0 0
1 0 0 0 9.66666666666667 0.333333333333333 0 0 0 0 0 0.166666666666667 0 0 0 0
0.833333333333333 0.333333333333333 0 4.33333333333333 1.33333333333333 0 0.5 6.33333333333333 3.33333333333333 0 0 0 0.333333333333333 0 0 0
0.833333333333333 0 0 2 2 0.166666666666667 0.166666666666667 2.16666666666667 0.833333333333333 0 0 0 0.333333333333333 0 0 0
1 0 0 5.5 0.333333333333333 0.166666666666667 1.66666666666667 0.166666666666667 0.666666666666667 0 0 0 0.666666666666667 0 0 0
1 0 0 1.16666666666667 1 0.166666666666667 0.833333333333333 2 1 0 0 0 0 0 0 0
0.5 0 0 13.5 0 0.333333333333333 0 0.166666666666667 0.166666666666667 0 0 0 0 0 0 0
1 0.166666666666667 0 15.6666666666667 0 0.166666666666667 0.666666666666667 0.333333333333333 0.833333333333333 0 0 0 0 0 0 0
1.16666666666667 0.166666666666667 0 5 16.5 0 0.333333333333333 0.166666666666667 1.66666666666667 0 0 0 0 0 0 0
0.166666666666667 0 0.166666666666667 3.16666666666667 0 0 0.333333333333333 0 0.833333333333333 0 0 0 0 0 0 0
0 0 0 2.83333333333333 0.166666666666667 0 0 0.333333333333333 0.166666666666667 0 0 0 0 0 0 0
1 0.333333333333333 0.166666666666667 3.66666666666667 0.833333333333333 0 0.333333333333333 1.5 0.5 0 0 0 0 0 0 0
0.5 0.333333333333333 0 2.16666666666667 0.166666666666667 0 0 0.333333333333333 0.833333333333333 0 0 0 0 0 0 0
0.833333333333333 0.5 0.333333333333333 5.83333333333333 0 0 1.16666666666667 0.5 0.333333333333333 0 0 0 0 0 0 0
0.833333333333333 0.5 0 0 6.5 1.33333333333333 0.333333333333333 0.666666666666667 0.5 0 0 0 0 0 0 0
1.83333333333333 1.66666666666667 0 4 27.3333333333333 0.166666666666667 0 2 1.5 0 0 0.166666666666667 0 0 0.166666666666667 0
0.833333333333333 0 0 0 3.66666666666667 0 0.166666666666667 0.666666666666667 0 0 0 0 0 0 0 0
0.333333333333333 0.166666666666667 0 0.833333333333333 0.166666666666667 1 0.333333333333333 1.5 0.166666666666667 0 0 0 0 0 0 0
0.5 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0
0.5 0 0 0 0.5 0 0.5 1.33333333333333 1 0 0 0 0 0 0 0
0.5 0 0.166666666666667 0 0 1.16666666666667 0.333333333333333 2.33333333333333 0.833333333333333 0 0 0 0 0 0 0
0.5 0.166666666666667 0.166666666666667 0.166666666666667 0.666666666666667 0.5 0.333333333333333 3.33333333333333 4.66666666666667 0 0 0 0 0 0 0
0 0.666666666666667 0 0 1.33333333333333 0.333333333333333 0.833333333333333 1.83333333333333 2.16666666666667 0 0 0 0 0 0 0
1 3.16666666666667 0 0.166666666666667 0.666666666666667 0 0.333333333333333 0.666666666666667 1.66666666666667 0 0.166666666666667 0 0 0 0 0
1.5 2 0 2 0.666666666666667 1.16666666666667 1.16666666666667 0.666666666666667 6.5 0 0 0 0 0 0 0
